Time;Accel_X;Accel_Y;Gyro_X;Gyro_Y
0.0000;2.3010;-1.6378;-31.6400;-70.1000
1.1961;0.8946;-0.7315;-31.6400;-70.1000
1.2001;0.4971;-0.4351;-31.6400;-70.1000
1.2021;0.3302;-0.2996;-31.6400;-70.1000
1.2052;0.2422;-0.2246;-31.6400;-70.1000
1.2099;0.1889;-0.1777;-31.6400;-70.1000
1.2099;0.1537;-0.1460;-31.6400;-70.1000
1.2143;0.1288;-0.1233;-31.6400;-70.1000
1.2176;0.1104;-0.1063;-31.6400;-70.1000
1.2186;0.0963;-0.0932;-31.6400;-70.1000
1.2215;0.0853;-0.0828;-31.6400;-70.1000
1.2230;0.0763;-0.0743;-31.6400;-70.1000
1.2259;0.0690;-0.0673;-31.6400;-70.1000
1.2291;0.0628;-0.0614;-31.6400;-70.1000
1.2321;0.2885;1.2223;-24.5700;-75.3100
1.2340;0.2679;1.0972;-24.5700;-75.3100
1.2360;0.2491;0.9732;-24.5700;-75.3100
1.2409;0.2319;0.8555;-24.5700;-75.3100
1.2420;0.2021;0.6521;-24.5700;-75.3100
1.2439;0.1891;0.5687;-24.5700;-75.3100
1.2458;0.1773;0.4972;-24.5700;-75.3100
1.2500;0.1665;0.4363;-24.5700;-75.3100
1.2510;0.1567;0.3847;-24.5700;-75.3100
1.2550;0.1477;0.3410;-24.5700;-75.3100
1.2560;0.1124;0.2023;-24.5700;-75.3100
1.2589;0.1069;0.1850;-24.5700;-75.3100
1.2619;0.1018;0.1699;-24.5700;-75.3100
1.2639;0.8502;1.6052;-15.2900;-79.8700
1.2658;0.6592;0.9415;-15.2900;-79.8700
1.2688;0.6110;0.8022;-15.2900;-79.8700
1.2724;0.5643;0.6828;-15.2900;-79.8700
1.2753;0.5198;0.5827;-15.2900;-79.8700
1.2762;0.4780;0.4999;-15.2900;-79.8700
1.2791;0.3402;0.2910;-15.2900;-79.8700
1.2831;0.3130;0.2589;-15.2900;-79.8700
1.2862;0.2884;0.2319;-15.2900;-79.8700
1.2862;0.2663;0.2090;-15.2900;-79.8700
1.2890;0.8396;0.2020;-13.8500;-84.0600
1.2931;0.7583;0.1867;-13.8500;-84.0600
1.2940;0.6814;0.1731;-13.8500;-84.0600
1.2981;0.6102;0.1609;-13.8500;-84.0600
1.2998;0.5457;0.1500;-13.8500;-84.0600
1.3033;0.4879;0.1403;-13.8500;-84.0600
1.3062;0.2882;0.1036;-13.8500;-84.0600
1.3103;0.2620;0.0981;-13.8500;-84.0600
1.3103;0.2390;0.0931;-13.8500;-84.0600
1.3142;0.2189;0.0885;-13.8500;-84.0600
1.3151;0.2011;0.0842;-13.8500;-84.0600
1.3191;0.1855;0.0803;-13.8500;-84.0600
1.3200;0.6618;0.3000;-11.6800;-87.1700
1.3236;0.5990;0.2857;-11.6800;-87.1700
1.3265;0.5410;0.2719;-11.6800;-87.1700
1.3285;0.4881;0.2588;-11.6800;-87.1700
1.3304;0.4406;0.2462;-11.6800;-87.1700
1.3330;0.2975;0.2020;-11.6800;-87.1700
1.3350;0.2715;0.1924;-11.6800;-87.1700
1.3380;0.2485;0.1833;-11.6800;-87.1700
1.3400;0.2282;0.1748;-11.6800;-87.1700
1.3438;0.1799;0.1520;-11.6800;-87.1700
1.3457;0.8192;0.5698;-9.0500;-91.3100
1.3487;0.7542;0.5423;-9.0500;-91.3100
1.3506;0.6905;0.5147;-9.0500;-91.3100
1.3541;0.6294;0.4872;-9.0500;-91.3100
1.3576;0.5719;0.4601;-9.0500;-91.3100
1.3576;0.5186;0.4336;-9.0500;-91.3100
1.3621;0.4700;0.4080;-9.0500;-91.3100
1.3621;0.2673;0.2787;-9.0500;-91.3100
1.3657;0.2453;0.2616;-9.0500;-91.3100
1.3676;0.2085;0.2309;-9.0500;-91.3100
1.3705;0.1930;0.2173;-9.0500;-91.3100
1.3740;0.1791;0.2046;-9.0500;-91.3100
1.3740;0.2194;-0.3741;-12.2800;-97.5900
1.3769;0.2058;-0.3484;-12.2800;-97.5900
1.3799;0.1818;-0.3023;-12.2800;-97.5900
1.3844;0.1712;-0.2818;-12.2800;-97.5900
1.3874;0.1615;-0.2630;-12.2800;-97.5900
1.3884;0.1443;-0.2297;-12.2800;-97.5900
1.3903;0.1319;-0.6862;-14.2900;-108.0700
1.3933;0.1261;-0.6407;-14.2900;-108.0700
1.3960;0.1156;-0.5522;-14.2900;-108.0700
1.3990;0.1020;-0.4339;-14.2900;-108.0700
1.4039;0.0812;-0.2673;-14.2900;-108.0700
1.4050;0.0783;-0.2477;-14.2900;-108.0700
1.4081;0.0731;-0.2139;-14.2900;-108.0700
1.4108;0.0707;-0.1993;-14.2900;-108.0700
1.4143;0.0684;-0.1861;-14.2900;-108.0700
1.4153;0.1375;0.3281;-10.8600;-113.0300
1.4199;0.1290;0.2836;-10.8600;-113.0300
1.4206;0.1250;0.2640;-10.8600;-113.0300
1.4233;0.1211;0.2461;-10.8600;-113.0300
1.4252;0.1007;0.1665;-10.8600;-113.0300
1.4301;0.0949;0.1480;-10.8600;-113.0300
1.4306;-0.0555;1.1693;-6.3800;-115.3200
1.4341;-0.0539;1.0903;-6.3800;-115.3200
1.4361;-0.0510;0.9193;-6.3800;-115.3200
1.4401;-0.0436;0.4779;-6.3800;-115.3200
1.4431;-0.0425;0.4273;-6.3800;-115.3200
1.4441;-0.0406;0.3443;-6.3800;-115.3200
1.4460;-0.0396;0.3106;-6.3800;-115.3200
1.4521;-0.0370;0.2333;-6.3800;-115.3200
1.4521;-0.0354;0.1964;-6.3800;-115.3200
1.4551;-0.9161;0.9093;-3.1600;-122.1900
1.4570;-0.8659;0.7513;-3.1600;-122.1900
1.4589;-0.8365;0.6771;-3.1600;-122.1900
1.4620;-0.5371;0.2911;-3.1600;-122.1900
1.4649;-0.4997;0.2649;-3.1600;-122.1900
1.4678;-0.4301;0.2216;-3.1600;-122.1900
1.4724;-0.3984;0.2037;-3.1600;-122.1900
1.4724;-0.3416;0.1739;-3.1600;-122.1900
1.4752;-0.8068;0.9735;2.1100;-128.7900
1.4772;-0.6414;0.7534;2.1100;-128.7900
1.4807;-0.5699;0.6588;2.1100;-128.7900
1.4842;-0.4507;0.5045;2.1100;-128.7900
1.4852;-0.4021;0.4434;2.1100;-128.7900
1.4871;-0.2011;0.2062;2.1100;-128.7900
1.4900;-2.0676;0.8447;7.3000;-126.7600
1.4931;-1.4743;0.6876;7.3000;-126.7600
1.4970;-1.2014;0.6165;7.3000;-126.7600
1.4980;-0.7855;0.4938;7.3000;-126.7600
1.4999;-0.6409;0.4423;7.3000;-126.7600
1.5030;-0.1748;0.1878;7.3000;-126.7600
1.5049;-0.1584;0.1737;7.3000;-126.7600
1.5079;-3.1049;-1.6059;5.5500;65.3400
1.5098;-2.6560;-1.4581;5.5500;65.3400
1.5133;-2.1427;-1.2991;5.5500;65.3400
1.5177;-1.2494;-0.9851;5.5500;65.3400
1.5177;-0.2734;-0.3510;5.5500;65.3400
1.5201;-0.2072;-0.2752;5.5500;65.3400
1.5222;-0.1834;-0.2461;5.5500;65.3400
1.5251;-0.1476;-0.2004;5.5500;65.3400
1.5285;1.1556;-0.4786;8.3100;95.9300
1.5301;0.8656;-0.3988;8.3100;95.9300
1.5335;0.7428;-0.3643;8.3100;95.9300
1.5344;0.5484;-0.3055;8.3100;95.9300
1.5364;0.4742;-0.2805;8.3100;95.9300
1.5403;0.2056;-0.1650;8.3100;95.9300
1.5438;0.1869;-0.1544;8.3100;95.9300
1.5438;0.1568;-0.1361;8.3100;95.9300
1.5467;0.1446;-0.1282;8.3100;95.9300
1.5487;4.5439;0.7512;-0.1100;-68.3600
1.5506;3.1565;0.6992;-0.1100;-68.3600
1.5542;1.2682;0.5975;-0.1100;-68.3600
1.5574;0.8509;0.5494;-0.1100;-68.3600
1.5581;0.6073;0.5041;-0.1100;-68.3600
1.5601;0.3587;0.4230;-0.1100;-68.3600
1.5636;0.2909;0.3874;-0.1100;-68.3600
1.5655;0.2058;0.3258;-0.1100;-68.3600
1.5687;0.0932;0.1884;-0.1100;-68.3600
1.5704;5.8240;-0.6936;-2.5600;-64.1400
1.5741;4.6032;-0.6428;-2.5600;-64.1400
1.5751;1.9180;-0.5460;-2.5600;-64.1400
1.5780;1.2053;-0.5013;-2.5600;-64.1400
1.5799;0.8072;-0.4597;-2.5600;-64.1400
1.5845;0.1715;-0.2542;-2.5600;-64.1400
1.5875;0.1337;-0.2179;-2.5600;-64.1400
1.5885;0.1199;-0.2025;-2.5600;-64.1400
1.5920;0.1084;-0.1885;-2.5600;-64.1400
1.5930;-0.8976;-2.8773;-11.7400;-77.2500
1.5969;-0.5864;-1.3915;-11.7400;-77.2500
1.5989;-0.2303;-0.2372;-11.7400;-77.2500
1.6019;-0.2111;-0.2090;-11.7400;-77.2500
1.6039;-0.1942;-0.1859;-11.7400;-77.2500
1.6074;-0.1660;-0.1506;-11.7400;-77.2500
1.6103;-2.3516;-0.6920;-15.9000;-90.0600
1.6128;-2.1129;-0.6318;-15.9000;-90.0600
1.6177;-1.8343;-0.5751;-15.9000;-90.0600
1.6187;-1.2680;-0.4739;-15.9000;-90.0600
1.6218;-1.0297;-0.4300;-15.9000;-90.0600
1.6262;-0.2937;-0.2287;-15.9000;-90.0600
1.6262;-0.2272;-0.1955;-15.9000;-90.0600
1.6291;-0.2024;-0.1815;-15.9000;-90.0600
1.6341;-0.1818;-0.1689;-15.9000;-90.0600
1.6351;-0.1496;-0.1474;-15.9000;-90.0600
1.6388;1.0927;1.6792;-8.4800;-86.6500
1.6408;0.3684;0.4901;-8.4800;-86.6500
1.6438;0.3288;0.4248;-8.4800;-86.6500
1.6448;0.2658;0.3260;-8.4800;-86.6500
1.6493;0.2407;0.2887;-8.4800;-86.6500
1.6493;0.2001;0.2309;-8.4800;-86.6500
1.6519;0.1835;0.2084;-8.4800;-86.6500
1.6538;0.1563;0.1726;-8.4800;-86.6500
1.6568;-1.3055;1.3599;-4.5300;-81.9700
1.6597;-0.8336;0.8170;-4.5300;-81.9700
1.6643;-0.7301;0.7062;-4.5300;-81.9700
1.6643;-0.5576;0.5289;-4.5300;-81.9700
1.6671;-0.4886;0.4603;-4.5300;-81.9700
1.6702;-0.3796;0.3545;-4.5300;-81.9700
1.6735;-0.2013;0.1870;-4.5300;-81.9700
1.6743;-0.1842;0.1712;-4.5300;-81.9700
1.6773;-3.0900;0.3947;-4.4600;-80.7800
1.6807;-2.6743;0.3641;-4.4600;-80.7800
1.6843;-0.3975;0.1988;-4.4600;-80.7800
1.6843;-0.3329;0.1858;-4.4600;-80.7800
1.6892;-0.2447;0.1632;-4.4600;-80.7800
1.6906;-0.2140;0.1534;-4.4600;-80.7800
