Time;Accel_X;Accel_Y;Gyro_X;Gyro_Y
0.0000;57.0000;-0.0055;2.2300;85.4000
0.0000;0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;85.3800;0.0000;0.0000
0.0000;0.0009;0.1256;1.3300;85.3800
0.0000;0.0009;0.1221;1.3300;85.3800
0.0000;0.0009;0.1203;1.3300;85.3800
0.0000;0.0009;0.1133;1.3300;85.3800
0.0020;-0.0360;0.2068;0.7400;85.4100
0.0050;-0.0359;0.2035;0.7400;85.4100
0.0060;-0.0000;0.0000;0.0000;0.0000
0.0079;0.0357;0.1968;0.7400;85.4100
0.0099;-0.0355;0.1900;0.7400;85.4100
0.0118;-0.0354;0.1866;0.7400;85.4100
0.0139;-0.0351;0.1798;0.7400;85.4100
0.0168;-0.0346;0.1630;0.7400;85.4100
0.0187;-0.0344;0.1565;0.7400;85.4100
0.0207;-0.0343;0.1532;0.7400;85.4100
0.0256;-0.0342;0.1500;0.7400;85.4100
0.0256;-0.0673;0.1502;0.7100;85.4800
0.0286;-0.0671;0.1470;0.7100;85.4800
0.0305;-0.0665;0.1376;0.7100;85.4800
0.0325;-0.0660;0.1316;0.7100;85.4800
0.0359;-0.0658;0.1287;0.7100;85.4800
0.0379;-0.0655;0.1258;0.7100;85.4800
0.0398;-0.0651;0.1203;0.7100;85.4800
0.0428;-0.0648;0.1176;0.7100;85.4800
0.0453;-0.0646;0.1149;0.7100;85.4800
0.0473;-0.0632;0.1003;0.7100;85.4800
0.0502;-0.0377;0.1257;0.5200;86.1700
0.0521;-0.0376;0.1228;0.5200;86.1700
0.0557;-0.0370;0.1122;0.5200;86.1700
0.0567;-0.0360;0.0957;0.5200;86.1700
0.0586;-0.0357;0.0915;0.5200;86.1700
0.0606;-0.0355;0.0895;0.5200;86.1700
0.0635;-0.0352;0.0856;0.5200;86.1700
0.0670;-0.0351;0.0837;0.5200;86.1700
0.0680;-0.0534;0.0491;0.7200;86.5100
0.0709;-0.0530;0.0471;0.7200;86.5100
0.0729;-0.0514;0.0408;0.7200;86.5100
0.0754;-0.0510;0.0393;0.7200;86.5100
0.0783;-0.0507;0.0385;0.7200;86.5100
0.0822;-0.0494;0.0345;0.7200;86.5100
0.0822;-0.0491;0.0339;0.7200;86.5100
0.0857;-0.0606;-0.0545;1.2600;86.0700
0.0867;-0.0585;-0.0484;1.2600;86.0700
0.0897;-0.0582;-0.0477;1.2600;86.0700
0.0926;-0.0574;-0.0454;1.2600;86.0700
0.0966;-0.0568;-0.0440;1.2600;86.0700
0.0966;-0.0565;-0.0433;1.2600;86.0700
0.0985;-0.0562;-0.0426;1.2600;86.0700
0.1024;0.0027;-0.0928;1.6000;85.9900
